Y	X	Z
10463.27	-4844.42	2238.68
10463.48	-4869.11	2249.6

Y	X	Z
146	0.23	0.46
209	0.36	0.87
303	0.47	1.68
365	0.75	2.12
426	1.23	2.36
517	1.82	2.75
608	2.11	2.73
699	2.3	2.21
789.99	2.5	1.38
881.98	2.94	0.03
973.97	3.41	-1.32
1066.97	3.69	-2.41
1157.96	3.88	-3.49
1250.96	3.81	-4.46
1341.95	3.7	-5.4
1432.94	3.85	-6.73
1524.93	4	-8.16
1615.92	4.01	-9.66
1705.91	4.16	-11.38
1799.89	4.15	-13.09
1893.87	4.11	-15.13
1987.86	3.58	-16.09
2081.85	2.18	-16
2175.83	0.5	-16.63
2269.82	-0.77	-17.6
2363.81	-1.55	-18.65
2380.81	-1.67	-18.87
2457.8	-2.7	-19.93
2551.74	-5.59	-21.27
2645.66	-9.44	-22.68
2739.59	-12.85	-23.32
2833.56	-15.07	-22.94
2928.55	-16.53	-22.02
3022.53	-18.22	-20.88
3116.51	-19.76	-20.11
3210.51	-20.86	-19.83
3304.5	-21.91	-19.89
3398.5	-22.56	-20.37
3492.5	-22.71	-21.32
3586.49	-22.82	-22.11
3680.49	-23.14	-22.46
3774.49	-23.58	-22.68
3868.49	-23.94	-23.06
3962.49	-24.26	-23.53
4056.49	-24.62	-24.06
4150.49	-24.89	-24.66
4245.49	-24.89	-25.29
4339.49	-24.77	-26.1
4433.48	-24.55	-27.05
4527.48	-24.06	-28.08
4621.47	-23.45	-29.24
4715.46	-22.93	-30.62
4809.45	-22.56	-32.13
4903.42	-22.26	-34.24
4997.4	-21.79	-36.21
5091.39	-21.24	-37.4
5185.39	-21.03	-38.58
5279.38	-21.56	-39.51
5373.37	-22.97	-39.72
5467.35	-25.02	-39.65
5561.33	-26.82	-39.3
5655.32	-27.99	-38.54
5749.31	-29.28	-37.68
5844.3	-30.91	-36.89
5938.28	-32.73	-36.55
6032.26	-34.68	-36.78
6126.24	-36.6	-37.62
6220.22	-37.52	-38.98
6314.21	-37.01	-40.49
6408.19	-35.62	-41.61
6502.16	-33.32	-42.16
6596.13	-30.84	-42.05
6690.1	-28.48	-41.34
6784.08	-26.61	-40.73
6879.08	-25.66	-40.44
6973.07	-25.1	-40.44
7067.07	-24.47	-40.62
7161.07	-24.02	-40.49
7255.07	-24.11	-39.69
7349.06	-24.3	-38.48
7443.06	-24.49	-37.27
7537.05	-24.8	-36.26
7631.05	-25.23	-35.6
7725.05	-25.76	-35.2
7819.05	-26.24	-34.89
7913.05	-26.94	-34.88
8008.04	-28.07	-35.11
8102.03	-29.37	-35.31
8195.02	-30.65	-35.53
8290.01	-32.01	-36.09
8384	-33.42	-37.08
8477.98	-34.66	-38.26
